Per call time  -  Saturday 12 @ 14:03

  calls      time  function
      9    0.0000  mouse.py:343(on_mouse_press)
      3    0.0000  misc.py:13(__init__)
     95    0.0000  metrics.py:165(sp)
    106    0.0000  <frozen importlib._bootstrap>:420(__exit__)
     10    0.0000  __init__.py:191(keycode_to_string)
     38    0.0000  _handler.py:110(_protected_lock)
     49    0.0000  scrollview.py:330(_get_hbar)
     38    0.0000  <frozen importlib._bootstrap_external>:1367(__iter__)
      9    0.0000  match.py:16(match)
    180    0.0000  animation.py:574(out_quad)
     47    0.0000  scrollview.py:619(_update_effect_bounds)
     16    0.0000  home_widgets.py:61(_update_height)
     66    0.0000  __init__.py:200(_is_internal_frame)
      9    0.0000  __init__.py:121(release_data)
     72    0.0000  __init__.py:681(_get_kheight)
    339    0.0000  __init__.py:1525(flip)
      6    0.0000  scrollview.py:522(on__viewport)
     21    0.0000  textinput.py:3627(_get_text)
     61    0.0000  <frozen ntpath>:257(splitext)
     96    0.0000  enum.py:726(__call__)
     26    0.0000  enum.py:1008(_find_data_type_)
     69    0.0000  _parser.py:86(opengroup)
      9    0.0000  image.py:64(match)
      8    0.0000  scroll.py:120(stop)
     96    0.0000  enum.py:1129(__new__)
    520    0.0000  widget.py:1132(to_local)
     22    0.0000  logger.py:332(emit)
      2    0.0000  task_manager.py:104(_save_tasks_to_json)
    105    0.0000  <frozen importlib._bootstrap>:1128(find_spec)
      5    0.0000  screenmanager.py:416(_on_complete)
    216    0.0000  {method '__exit__' of '_thread.RLock' objects}
    260    0.0000  {method 'setdefault' of 'dict' objects}
     13    0.0000  gridlayout.py:405(_update_minimum_size)
    521    0.0000  {built-in method builtins.ord}
      1    0.0000  TiffImagePlugin.py:519(ImageFileDirectory_v2)
      3    0.0000  builder.py:805(unbind_widget)
    275    0.0000  enum.py:70(_is_internal_class)
     12    0.0000  enum.py:1414(_missing_)
    339    0.0000  _parser.py:113(__init__)
    219    0.0000  __init__.py:423(get_system_fonts_dir)
      5    0.0000  floatlayout.py:142(remove_widget)
     30    0.0000  widget.py:286(__init__)
    105    0.0000  {built-in method _imp.find_frozen}
     16    0.0000  textinput.py:2173(_trigger_refresh_text)
    207    0.0000  motionevent.py:480(to_absolute_pos)
     79    0.0000  scrollview.py:1187(_get_uid)
      2    0.0000  buttons.py:98(set_image)
      9    0.0000  mouse.py:277(create_touch)
      2    0.0000  task_manager.py:73(sort_active_tasks)
    108    0.0000  <frozen importlib._bootstrap>:173(__exit__)
     68    0.0000  {built-in method builtins.sum}
      5    0.0000  textinput.py:2153(_set_line_text)
     10    0.0000  <frozen importlib._bootstrap_external>:1456(_path_hooks)
     33    0.0000  {built-in method now}
      2    0.0000  __init__.py:1818(update_childsize)
     17    0.0000  mouse.py:330(on_mouse_motion)
     17    0.0000  relativelayout.py:310(on_touch_move)
      1    0.0000  main.py:185(_init_home_screen)
     17    0.0000  buttons.py:213(set_active_state)
     55    0.0000  __init__.py:801(texture)
     19    0.0000  __init__.py:1541(warning)
      1    0.0000  task_manager.py:23(__init__)
     46    0.0000  image.py:125(get_image_ratio)
     10    0.0000  <frozen zipimport>:64(__init__)
      5    0.0000  home_widgets.py:175(__init__)
    112    0.0000  gridlayout.py:302(on_children)
     48    0.0000  {built-in method builtins.locals}
     13    0.0000  enum.py:513(__prepare__)
     45    0.0000  textinput.py:2280(_trigger_update_graphics)
    141    0.0000  textinput.py:2593(_get_row_width)
      6    0.0000  typing.py:2781(_make_nmtuple)
    171    0.0000  {method 'add' of 'set' objects}
      8    0.0000  scroll.py:111(start)
